id,company,product,type_name,inches,ram,weight,cpu_brand,cpu_generation,os_type,gpu_brand,gpu_type,memory_hdd,memory_ssd,memory_hybrid,memory_flash_storage,ips,retina,touchscreen,resolution_x,resolution_y,price
9745038,MSI,GS73VR 7RG,Gaming,17.3,16,2.43,Intel,i7,Windows,Nvidia,dedicated,2000,256,0,0,0,0,0,1920,1080,2449
8965582,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,2.0,Intel,i3,Linux,Intel,integrated,0,256,0,0,0,0,0,1920,1080,415
4959661,Dell,Inspiron 5770,Notebook,17.3,16,2.8,Intel,i7,Windows,AMD,dedicated,2000,256,0,0,0,0,0,1920,1080,1299
8845657,Dell,Vostro 5471,Ultrabook,14.0,8,1.7,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,879
1406454,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8,1.7,Intel,i3,No OS,Intel,integrated,0,256,0,0,1,0,0,1920,1080,599
6337731,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8,1.4,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,941
8671263,HP,250 G6,Notebook,15.6,8,1.86,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,690
2623571,Asus,ZenBook Pro,Ultrabook,15.6,16,1.8,Intel,i7,Windows,Nvidia,dedicated,0,512,0,0,0,0,0,1920,1080,1983
6835419,HP,250 G6,Notebook,15.6,4,1.86,Intel,i3,Windows,AMD,dedicated,500,0,0,0,0,0,0,1366,768,438
9775124,HP,Stream 14-AX040wm,Notebook,14.0,4,1.44,Intel,Dual,Windows,Intel,integrated,0,32,0,0,0,0,0,1366,768,229
9592111,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,1.9,Intel,i5,Windows,Intel,integrated,1000,0,0,0,0,0,0,1920,1080,549
8544205,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,3.0,Intel,i7,Linux,Nvidia,dedicated,1000,0,0,0,0,0,0,1920,1080,949
3775619,Microsoft,Surface Laptop,Ultrabook,13.5,4,1.252,Intel,i5,Windows,Intel,integrated,0,128,0,0,0,0,1,2256,1504,1089
4682835,Dell,Inspiron 5370,Ultrabook,13.3,8,1.4,Intel,i7,Windows,AMD,dedicated,0,256,0,0,1,0,0,1920,1080,955
6152791,Dell,Inspiron 5570,Notebook,15.6,8,2.2,Intel,i7,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,870
9554426,MSI,GL72M 7RDX,Gaming,17.3,8,2.7,Intel,i5,Windows,Nvidia,dedicated,1000,128,0,0,0,0,0,1920,1080,1095
7974529,Acer,Aspire E5-475,Notebook,14.0,8,2.1,Intel,i3,Windows,Intel,integrated,1000,0,0,0,0,0,0,1366,768,389
5741011,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,2.2,Intel,i7,Windows,Nvidia,dedicated,1000,0,0,0,0,0,0,1920,1080,949
2751361,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,2.2,Intel,i5,No OS,Intel,integrated,2000,0,0,0,0,0,0,1920,1080,519
6107447,Dell,Inspiron 5570,Notebook,15.6,8,2.02,Intel,i7,Windows,Intel,integrated,1000,128,0,0,0,0,0,1920,1080,855
4662064,Acer,Aspire A515-51G-32MX,Notebook,15.6,4,2.2,Intel,i3,Windows,Nvidia,dedicated,1000,0,0,0,0,0,0,1920,1080,530
5210941,HP,ProBook 470,Notebook,17.3,8,2.5,Intel,i5,Windows,Nvidia,dedicated,1000,128,0,0,0,0,0,1920,1080,977
1588927,Dell,Latitude 5590,Ultrabook,15.6,8,1.88,Intel,i5,Windows,Intel,integrated,0,256,0,0,1,0,0,1920,1080,1096
6343085,Apple,"MacBook 12""",Ultrabook,12.0,8,0.92,Intel,i5,macOS,Intel,integrated,0,512,0,0,1,1,0,2304,1440,1510
8225398,HP,ProBook 440,Notebook,14.0,8,1.63,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,860
5404066,Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,2.2,AMD,9220,Windows,AMD,dedicated,0,128,0,0,0,0,0,1920,1080,399
6811591,Acer,Aspire 3,Notebook,15.6,4,2.1,AMD,9420,Windows,AMD,dedicated,1000,0,0,0,0,0,0,1366,768,395
6964618,Dell,Inspiron 7577,Gaming,15.6,16,2.65,Intel,i7,Windows,Nvidia,dedicated,1000,128,0,0,1,0,0,1920,1080,1349
3860695,HP,Pavilion 15-CK000nv,Ultrabook,15.6,8,1.83,Intel,i7,Windows,Nvidia,dedicated,0,256,0,0,1,0,0,1920,1080,699
6806574,HP,250 G6,Notebook,15.6,8,1.96,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,598
4731595,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,2.2,Intel,i7,Windows,Nvidia,dedicated,1000,128,0,0,1,0,0,1920,1080,1449
4547898,Dell,XPS 13,Ultrabook,13.3,8,1.21,Intel,i7,Windows,Intel,integrated,0,256,0,0,1,0,0,1920,1080,1649
1945846,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,2.45,AMD,9830P,Windows,AMD,dedicated,1000,0,0,0,0,0,0,1920,1080,699
4592224,Acer,Aspire 5,Notebook,15.6,8,2.2,Intel,i7,Windows,Nvidia,dedicated,1000,0,0,0,0,0,0,1920,1080,689
8332567,HP,Probook 430,Notebook,13.3,16,1.49,Intel,i7,Windows,Intel,integrated,0,512,0,0,0,0,0,1920,1080,1197
1532735,Dell,Inspiron 7577,Gaming,15.6,8,2.65,Intel,i5,Windows,Nvidia,dedicated,0,256,0,0,0,0,0,1920,1080,1195
7320484,Asus,Zenbook UX430UA,Ultrabook,14.0,8,1.25,Intel,i7,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,1049
8421453,Acer,Spin 5,2 in 1 Convertible,13.3,8,1.5,Intel,i5,Windows,Intel,integrated,0,256,0,0,1,0,1,1920,1080,847
4570427,Dell,Inspiron 3567,Notebook,15.6,8,2.2,Intel,i7,Linux,AMD,dedicated,1000,0,0,0,0,0,0,1920,1080,599
7882140,Dell,Inspiron 3567,Notebook,15.6,4,2.2,Intel,i3,Linux,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,485
8013260,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6,2.0,Intel,i3,Windows,Nvidia,dedicated,0,256,0,0,0,0,0,1920,1080,577
7076485,HP,Omen 15-ce007nv,Gaming,15.6,12,2.62,Intel,i7,Windows,Nvidia,dedicated,1000,128,0,0,1,0,0,1920,1080,1249
7283234,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8,1.91,Intel,i7,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,719
9729868,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4,2.1,AMD,E2-9000e,Windows,AMD,dedicated,500,0,0,0,0,0,0,1920,1080,349
5052792,Dell,Inspiron 3576,Notebook,15.6,8,2.2,Intel,i5,Linux,AMD,dedicated,1000,0,0,0,0,0,0,1920,1080,647
8728122,HP,Envy 13-ad009n,Ultrabook,13.3,8,1.38,Intel,i7,Windows,Nvidia,dedicated,0,256,0,0,1,0,0,1920,1080,1119
5804521,Microsoft,Surface Laptop,Ultrabook,13.5,8,1.252,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,1,2256,1504,1340
6144839,HP,Pavilion 14-BK001nv,Notebook,14.0,6,1.58,Intel,i5,Windows,Nvidia,dedicated,0,256,0,0,1,0,0,1920,1080,659
7707473,Lenovo,Ideapad 310-15ISK,Notebook,15.6,4,1.85,Intel,i3,Windows,Intel,integrated,1000,0,0,0,0,0,0,1920,1080,414
7343930,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,8,1.3,Intel,i7,Windows,Nvidia,dedicated,0,256,0,0,1,0,0,1920,1080,1193
1656518,MSI,GP62M 7REX,Gaming,15.6,16,2.2,Intel,i7,Windows,Nvidia,dedicated,1000,256,0,0,0,0,0,1920,1080,1299
8814130,Lenovo,Thinkpad T470,Notebook,14.0,8,1.58,Intel,i7,Windows,Intel,integrated,0,256,0,0,1,0,0,1920,1080,1480
8722877,Asus,VivoBook S15,Ultrabook,15.6,16,1.5,Intel,i7,Windows,Nvidia,dedicated,1000,256,0,0,0,0,0,1920,1080,1262
4991903,Dell,XPS 13,Ultrabook,13.3,8,1.23,Intel,i7,Windows,Intel,integrated,0,256,0,0,0,0,1,3200,1800,1379
6428907,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8,1.37,Intel,i5,Windows,Intel,integrated,0,256,0,0,1,0,1,1920,1080,1399
7497980,HP,Probook 440,Notebook,14.0,4,1.63,Intel,i5,Windows,Intel,integrated,500,0,0,0,1,0,0,1366,768,722
7557643,Dell,XPS 13,Ultrabook,13.3,8,1.21,Intel,i5,Windows,Intel,integrated,0,256,0,0,1,0,0,1920,1080,1629
3189408,HP,Spectre x360,2 in 1 Convertible,13.3,8,1.26,Intel,i5,Windows,Intel,integrated,0,256,0,0,1,0,1,1920,1080,1398
3490949,HP,Probook 440,Notebook,14.0,8,1.63,Intel,i7,Windows,Intel,integrated,0,512,0,0,0,0,0,1920,1080,1084
4044754,Dell,Inspiron 7570,Notebook,15.6,8,2.16,Intel,i7,Windows,Nvidia,dedicated,1000,256,0,0,1,0,0,1920,1080,1130
2331050,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,4,2.0,Intel,i3,Windows,Nvidia,dedicated,1000,0,0,0,0,0,0,1920,1080,564
8380492,Asus,VivoBook S15,Notebook,15.6,8,1.7,Intel,i7,Windows,Nvidia,dedicated,0,256,0,0,0,0,0,1920,1080,1118
8657528,Acer,Spin 3,Notebook,15.6,6,2.1,Intel,i3,Windows,Intel,integrated,1000,0,0,0,1,0,1,1920,1080,479
1594643,MSI,GS63VR 7RG,Gaming,15.6,16,1.8,Intel,i7,Windows,Nvidia,dedicated,2000,256,0,0,0,0,0,1920,1080,2241
2078302,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,2.2,Intel,i5,No OS,Nvidia,dedicated,0,256,0,0,0,0,0,1920,1080,629
1536513,HP,Probook 470,Notebook,17.3,16,2.5,Intel,i7,Windows,Nvidia,dedicated,0,512,0,0,0,0,0,1920,1080,1271
9117569,Acer,Aspire 3,Notebook,15.6,4,2.1,AMD,9420,Windows,AMD,dedicated,0,256,0,0,0,0,0,1366,768,451
1866113,HP,250 G6,Notebook,15.6,4,1.86,Intel,Dual,No OS,Intel,integrated,500,0,0,0,0,0,0,1366,768,259
5630248,HP,Probook 440,Notebook,14.0,8,1.63,Intel,i5,Windows,Intel,integrated,1000,0,0,0,0,0,0,1920,1080,812
6381081,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,4,1.65,AMD,6110,Windows,AMD,dedicated,0,64,0,0,0,0,0,1366,768,277
7150087,Dell,Inspiron 5770,Notebook,17.3,16,2.8,Intel,i7,Windows,AMD,dedicated,2000,256,0,0,0,0,0,1920,1080,1396
2355172,HP,ProBook 470,Notebook,17.3,8,2.5,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,928
5135236,Dell,Inspiron 5567,Notebook,15.6,8,2.36,Intel,i5,Windows,AMD,dedicated,1000,0,0,0,0,0,0,1366,768,638
7746281,Dell,Inspiron 3567,Notebook,15.6,4,2.2,Intel,i3,Windows,AMD,dedicated,1000,0,0,0,0,0,0,1920,1080,449
2618138,Acer,Swift 3,Ultrabook,14.0,8,1.6,Intel,i7,Windows,Intel,integrated,0,256,0,0,1,0,0,1920,1080,884
4462539,Acer,Aspire A515-51G-37JS,Notebook,15.6,4,2.2,Intel,i3,Windows,Nvidia,dedicated,0,256,0,0,0,0,0,1920,1080,572
8806430,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,8,2.05,Intel,i7,Windows,Intel,integrated,1000,0,0,0,0,0,0,1366,768,598
9750975,HP,Probook 440,Notebook,14.0,8,1.63,Intel,i7,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,988
2775943,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,4,1.9,Intel,Dual,No OS,Intel,integrated,1000,0,0,0,0,0,0,1366,768,252
2724402,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,8,3.0,Intel,i5,Windows,Nvidia,dedicated,1000,128,0,0,0,0,0,1920,1080,938
3138857,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,4,2.2,Intel,i5,No OS,Nvidia,dedicated,1000,0,0,0,0,0,0,1920,1080,499
1460190,HP,Envy 13-AD007nv,Notebook,13.3,4,1.32,Intel,i5,Windows,Intel,integrated,0,256,0,0,1,0,0,1920,1080,699
9114722,Acer,Aspire 5,Notebook,17.3,4,3.0,Intel,i3,Windows,Nvidia,dedicated,1000,0,0,0,1,0,0,1920,1080,655
7290561,Lenovo,ThinkPad E480,Notebook,14.0,8,1.75,Intel,i5,Windows,AMD,dedicated,0,256,0,0,1,0,0,1920,1080,1116
6085824,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,2.4,Intel,i7,No OS,Nvidia,dedicated,0,256,0,0,1,0,0,1920,1080,869
8074324,Toshiba,Satellite Pro,Notebook,15.6,4,2.1,Intel,i5,Windows,Intel,integrated,500,0,0,0,0,0,0,1366,768,602
9972148,HP,255 G6,Notebook,15.6,4,1.86,AMD,9220,Windows,AMD,dedicated,0,256,0,0,0,0,0,1366,768,369
3945452,Asus,ZenBook UX430UA,Ultrabook,14.0,8,1.25,Intel,i7,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,1099
2940728,HP,EliteBook Folio,Ultrabook,12.5,8,0.97,Intel,M,Windows,Intel,integrated,0,512,0,0,1,0,1,3840,2160,2014
3097831,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,4,2.0,Intel,Dual,Windows,Intel,integrated,1000,0,0,0,0,0,0,1920,1080,344
4763919,MSI,GE72MVR 7RG,Gaming,17.3,16,2.9,Intel,i7,Windows,Nvidia,dedicated,1000,256,0,0,0,0,0,1920,1080,2029
6870488,Acer,Aspire A315-51,Notebook,15.6,4,2.1,Intel,i3,Windows,Intel,integrated,1000,0,0,0,0,0,0,1366,768,447
1771635,Dell,Inspiron 5577,Gaming,15.6,16,2.56,Intel,i7,Windows,Nvidia,dedicated,0,512,0,0,0,0,0,1920,1080,1249
8959799,Dell,Inspiron 7567,Gaming,15.6,8,2.62,Intel,i7,Windows,Nvidia,dedicated,0,0,1000,0,0,0,0,1920,1080,899
9315979,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,4,1.9,Intel,i5,Windows,Intel,integrated,0,128,0,0,0,0,0,1366,768,498
9157058,MSI,GE73VR 7RE,Gaming,17.3,16,2.8,Intel,i7,Windows,Nvidia,dedicated,1000,256,0,0,0,0,0,1920,1080,1890
5404773,HP,EliteBook 840,Ultrabook,14.0,4,1.48,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,1082
7992512,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,6,1.91,Intel,i5,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,619
5881306,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,4,1.74,Intel,i3,Windows,Intel,integrated,0,256,0,0,1,0,1,1920,1080,629
5501601,Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,1.1,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,1,1920,1080,1315
8819887,Dell,Inspiron 5579,2 in 1 Convertible,15.6,8,1.56,Intel,i7,Windows,Intel,integrated,0,256,0,0,0,0,1,1920,1080,1049
9699902,Toshiba,Satellite Pro,Notebook,15.6,4,2.1,Intel,i3,Windows,Intel,integrated,500,0,0,0,0,0,0,1366,768,447
5322040,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,4,2.03,AMD,9420,Windows,AMD,dedicated,1000,0,0,0,0,0,0,1366,768,403
5195468,Acer,Aspire A517-51G,Notebook,17.3,4,3.0,Intel,i5,Windows,Nvidia,dedicated,0,256,0,0,1,0,0,1920,1080,805
7196316,Dell,Inspiron 3576,Notebook,15.6,8,2.13,Intel,i5,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,728
9732542,Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,2.5,Intel,i7,Windows,Nvidia,dedicated,0,256,0,0,1,0,0,1920,1080,1079
7854672,Acer,Aspire A315-31,Notebook,15.6,4,2.1,Intel,Dual,Windows,Intel,integrated,1000,0,0,0,0,0,0,1366,768,348
1222930,MSI,GE63VR 7RE,Gaming,15.6,16,2.4,Intel,i7,Windows,Nvidia,dedicated,1000,256,0,0,1,0,0,1920,1080,1799
2661180,Acer,Aspire 3,Notebook,15.6,4,2.1,Intel,Quad,Windows,Intel,integrated,1000,0,0,0,0,0,0,1366,768,363
4184568,Dell,Inspiron 5577,Gaming,15.6,8,2.56,Intel,i7,Windows,Nvidia,dedicated,1000,128,0,0,0,0,0,1920,1080,1060
9494115,Acer,Aspire A517-51G,Notebook,17.3,8,3.0,Intel,i5,Windows,Nvidia,dedicated,0,256,0,0,1,0,0,1920,1080,854
3105555,HP,ProBook 430,Notebook,13.3,4,1.49,Intel,i5,Windows,Intel,integrated,500,0,0,0,1,0,0,1920,1080,754
4386596,Huawei,MateBook X,Ultrabook,13.0,8,1.05,Intel,i5,Windows,Intel,integrated,0,256,0,0,1,0,0,2160,1440,1349
3560567,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,6,2.71,Intel,i5,Windows,AMD,dedicated,2000,0,0,0,1,0,0,1920,1080,699
7832068,Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,2.2,AMD,9220,No OS,AMD,dedicated,500,0,0,0,0,0,0,1366,768,309
3178781,Toshiba,Satellite Pro,Notebook,15.6,4,2.0,Intel,i3,Windows,Intel,integrated,500,0,0,0,0,0,0,1366,768,489
1525448,HP,ProBook 470,Notebook,17.3,8,2.5,Intel,i5,Windows,Nvidia,dedicated,0,256,0,0,0,0,0,1920,1080,923
